primaryTitle,startYear,revenue
Interview with the Vampire,1994,223664608
Yes Man,2008,225990978
Central Intelligence,2016,216972543
Daddy's Home,2015,242786137
Into the Woods,2014,212902372
Inside Man,2006,184376254
Payback,1999,161626121
Congo,1995,152022101
We Bought a Zoo,2011,120081841
Knowing,2009,155446362
Failure to Launch,2006,88715192
The Ring Two,2005,161451538
"Crazy, Stupid, Love.",2011,142851197
Garfield,2004,200804534
Moneyball,2011,110206216
Outbreak,1995,189859560
Non-Stop,2014,222809600
Race to Witch Mountain,2009,106303988
V for Vendetta,2006,132511035
Shanghai Knights,2003,88323487
Curious George,2006,69834815
Herbie Fully Loaded,2005,66002004
Don't Say a Word,2001,100020092
Hansel & Gretel: Witch Hunters,2013,224803475
Unfaithful,2002,119137784
I Am Number Four,2011,144492830
Syriana,2005,94000000
13 Hours: The Secret Soldiers of Benghazi,2016,69411370
The Book of Life,2014,97437106
Firewall,2006,82800000
Absolute Power,1997,50068310
G.I. Jane,1997,48169156
The Game,1997,109423648
Silent Hill,2006,97607453
American Reunion,2012,234989584
The Negotiator,1998,44547681
Into the Storm,2014,160602194
Beverly Hills Cop III,1994,119208989
Gremlins 2: The New Batch,1990,41482207
The Judge,2014,83719388
Resident Evil: Apocalypse,2004,129394835
Bridget Jones: The Edge of Reason,2004,40203020
Out of Time,2003,55495563
On Deadly Ground,1994,49000000
The Adventures of Sharkboy and Lavagirl,2005,69425966
The Beach,2000,144056873
Raising Helen,2004,49718611
Ninja Assassin,2009,60462347
Striptease,1996,113309743
Marmaduke,2010,83761844
Hereafter,2010,105197635
Murder by Numbers,2002,56714147
Assassins,1995,30303072
Hannibal Rising,2007,82169884
The Story of Us,1999,58900031
The Host,2013,63327201
Basic,2003,42792561
Blood Work,2002,26199517
The International,2009,60161391
Escape from L.A.,1996,42277365
The Iron Giant,1999,23159305
The Life Aquatic with Steve Zissou,2004,34808403
Free State of Jones,2016,25035950
The Life of David Gale,2003,38955598
Run All Night,2015,71561644
Eastern Promises,2007,55112356
Into the Blue,2005,44434439
The Messenger: The Story of Joan of Arc,1999,66976317
Your Highness,2011,26121638
Dream House,2011,38502340
Mad City,1997,10541523
Baby's Day Out,1994,16671505
The Scarlet Letter,1995,10382407
Fair Game,2010,24188922
Domino,2005,22944502
Jade,1995,9851610
Gamer,2009,40828540
Beautiful Creatures,2013,60052138
Zoolander 2,2016,55969000
The Big Bounce,2004,6808550
Drive Angry,2011,28931401
Street Fighter: The Legend of Chun-Li,2009,12764201
The One,2001,72700000
The Adventures of Ford Fairlane,1990,20423389
The Boat That Rocked,2009,36348784
Traffic,2000,207515725
Indiana Jones and the Last Crusade,1989,474171806
Anna Karenina,2012,68929150
Chappie,2015,104399548
The Bone Collector,1999,151493655
Panic Room,2002,196397415
Three Kings,1999,108000000
Child 44,2015,3324330
Rat Race,2001,85498534
K-PAX,2001,50315140
Bedazzled,2000,90383208
The Cotton Club,1984,25928721
3:10 to Yuma,2007,70016220
Taken 3,2014,325771424
Out of Sight,1998,77745568
The Cable Guy,1996,102825796
Earth,1998,528972
Dick Tracy,1990,103738726
The Thomas Crown Affair,1999,124305181
Riding in Cars with Boys,2001,35743308
First Blood,1982,125212904
Happily N'Ever After,2006,38085778
Mary Reilly,1996,12379402
My Best Friend's Wedding,1997,299288605
Insomnia,2002,113714830
Star Trek: First Contact,1996,150000000
Jonah Hex,2010,10539000
Courage Under Fire,1996,100860818
Liar Liar,1997,181000000
The Infiltrator,2016,15436808
Inchon,1981,5200000
The Flintstones,1994,341631208
Taken 2,2012,376141306
Scary Movie 3,2003,220673217
Miss Congeniality,2000,212000000
Journey to the Center of the Earth,2008,101702060
The Princess Diaries 2: Royal Engagement,2004,95149435
The Pelican Brief,1993,195268056
The Client,1994,117615211
The Bucket List,2007,175372502
Patriot Games,1992,178051587
Monster-in-Law,2005,154749918
Prisoners,2013,122126687
Training Day,2001,104876233
Galaxy Quest,1999,90683916
Scary Movie 2,2001,141220678
The Muppets,2011,165184237
Blade,1998,131183530
Coach Carter,2005,76669806
Changing Lanes,2002,94935764
Anaconda,1997,136885767
Coyote Ugly,2000,113916474
Love Actually,2003,244931766
A Bug's Life,1998,363258859
From Hell,2001,74558115
The Specialist,1994,170362582
Tin Cup,1996,53854588
Kicking & Screaming,2005,56070433
The Hitchhiker's Guide to the Galaxy,2005,104478416
Resident Evil: Extinction,2007,148412065
Blended,2014,123494610
Last Holiday,2006,38399961
Savages,2012,82966152
Cellular,2004,56422687
Johnny English,2003,160583018
The Ant Bully,2006,55181129
Dune,1984,30925690
Revolutionary Road,2008,75225693
16 Blocks,2006,65664721
Babylon A.D.,2008,72108608
Aliens in the Attic,2009,57881056
The Pledge,2001,29400000
The Producers,2005,38058335
The Phantom,1996,17300889
Nixon,1995,13681765
The Ghost Writer,2010,60222298
Deep Rising,1998,11203026
Miracle at St. Anna,2008,9323833
Bangkok Dangerous,2008,42487390
Big Trouble,2002,8493890
Love in the Time of Cholera,2007,4607608
Shadow Conspiracy,1997,2154540
Johnny English Reborn,2011,160078586
Foodfight!,2012,73706
Argo,2012,232324128
The Fugitive,1993,368875760
The Bounty Hunter,2010,136000000
Sleepers,1996,165615285
Rambo: First Blood Part II,1985,300400432
Pinocchio,1940,84300000
Heaven's Gate,1980,3484331
Underworld: Evolution,2006,111340801
Victor Frankenstein,2015,34227298
Finding Forrester,2000,80049764
Unleashed,2005,50871113
The Sweetest Thing,2002,68696770
The Firm,1993,270248367
Charlie St. Cloud,2010,48190704
The Mechanic,2011,51070807
21 Jump Street,2012,201585328
Notting Hill,1999,363889678
Chicken Run,2000,224834564
Along Came Polly,2004,171963386
Boomerang,1992,70100000
The Heat,2013,158674180
Cleopatra,1963,71000000
Here Comes the Boom,2012,73100172
High Crimes,2002,63781810
The Mothman Prophecies,2002,55157539
Licence to Kill,1989,156167015
Red Riding Hood,2011,89162162
15 Minutes,2001,56359980
Super Mario Bros.,1993,20915465
Lord of War,2005,24127895
Hero,2002,177394432
One for the Money,2012,36893721
The Interview,2014,12342632
The Warrior's Way,2010,11087569
Micmacs,2009,14000000
8 Mile,2002,215000000
A Knight's Tale,2001,117487473
The Sixth Sense,1999,672806292
Man on a Ledge,2012,46221189
The Big Year,2011,7448385
The Karate Kid,1984,90815558
American Hustle,2013,251171807
The Proposal,2009,317375031
Double Jeopardy,1999,177841558
Back to the Future Part II,1989,332000000
Lucy,2014,126546825
Fifty Shades of Grey,2015,571006128
Spy Kids 3-D: Game Over,2003,197011982
A Time to Kill,1996,152266007
Cheaper by the Dozen,2003,190212113
Lone Survivor,2013,149295601
A League of Their Own,1992,107458785
The Conjuring 2,2016,320170008
The Social Network,2010,224920315
He's Just Not That Into You,2009,177259441
Scary Movie 4,2006,178262620
Scream 3,2000,161834276
Back to the Future Part III,1990,244527583
Get Hard,2015,111811453
Dracula,1992,215862692
Julie & Julia,2009,129540499
42,2013,95020213
The Talented Mr. Ripley,1999,128798265
Dumb and Dumber To,2014,169837010
Eight Below,2006,120455994
The Intern,2015,194564672
Ride Along 2,2016,124827316
The Last of the Mohicans,1992,75505856
Ray,2004,124731534
Sin City,2005,158733820
Vantage Point,2008,151161491
"I Love You, Man",2009,91636986
Shallow Hal,2001,141069860
JFK,1991,205405498
Big Momma's House 2,2006,138259062
The Mexican,2001,147845033
17 Again,2009,136267476
The Other Woman,2014,196781193
The Final Destination,2009,186167139
Bridge of Spies,2015,165478348
Behind Enemy Lines,2001,91753202
Get Him to the Greek,2010,90029656
Shall We Dance?,2004,170128460
Small Soldiers,1998,54682547
Spawn,1997,87840042
The Count of Monte Cristo,2002,75395048
The Lincoln Lawyer,2011,85412898
Unknown,2011,130786397
The Prestige,2006,109676311
Horrible Bosses 2,2014,107670357
Escape from Planet Earth,2013,74597643
Apocalypto,2006,120175290
The Living Daylights,1987,191185897
Predators,2010,126248813
Secret Window,2004,92913171
The Lake House,2006,114830111
The Skeleton Key,2005,91974818
The Odd Life of Timothy Green,2012,51854875
Made of Honor,2008,84601681
Jersey Boys,2014,67347013
The Rainmaker,1997,45916769
Gothika,2003,141591324
Amistad,1997,74000000
Aliens vs Predator: Requiem,2007,41797066
Music and Lyrics,2007,145896422
Paul,2011,97552050
The Guilt Trip,2012,41863726
Scream 4,2011,97138686
8MM,1999,96618699
The Doors,1991,34416893
Sex Tape,2014,126069509
Hanging Up,2000,36037909
Final Destination 5,2011,157887643
Pay It Forward,2000,55707411
Fever Pitch,2005,50451307
The Shadow,1994,48063435
Extremely Loud & Incredibly Close,2011,55247881
Morning Glory,2010,58785180
Get Rich or Die Tryin',2005,46442528
The Art of War,2000,30199105
Rent,2005,31670620
The Out-of-Towners,1999,29000000
The Island of Dr. Moreau,1996,49627779
The Musketeer,2001,27053815
Sweet November,2001,65754228
The Reaping,2007,62771059
Mean Streets,1973,3000000
Renaissance Man,1994,24332324
Colombiana,2011,60965854
Quest for Camelot,1998,38172500
City By The Sea,2002,22433915
Torque,2004,46546197
Showgirls,1995,20350754
Marie Antoinette,2006,60474340
Get Carter,2000,19412993
The Impossible,2012,180274123
Ishtar,1987,14375181
Fantastic Mr. Fox,2009,46471023
Life or Something Like It,2002,16872671
Memoirs of an Invisible Man,1992,14358033
Amélie,2001,173921954
Alfie,2004,13395939
Big Miracle,2012,24719215
The Deep End of the Ocean,1999,28121100
FearDotCom,2002,18902015
Cirque du Freak: The Vampire's Assistant,2009,28169671
Duplex,2003,19322135
Universal Soldier: The Return,1999,10667893
Pandorum,2009,20645327
Extreme Ops,2002,10959475
Sunshine,2007,32017803
A Thousand Words,2012,22044277
The Gunman,2015,13644292
Stormbreaker,2006,23937870
Disturbia,2007,117760134
Hackers,1995,7563728
Snowpiercer,2013,86758912
The Crow,1994,94000000
Baahubali: The Beginning,2015,100000000
The Time Traveler's Wife,2009,101229792
Because I Said So,2007,69485490
Frankenweenie,2012,35287788
Serenity,2005,38869464
Against the Ropes,2004,6614280
Superman III,1983,75850624
Grudge Match,2013,44907260
Red Cliff,2008,127814609
Sweet Home Alabama,2002,180622424
The Ugly Truth,2009,205298907
Spy Kids 2: The Island of Lost Dreams,2002,119723358
Star Trek: Generations,1994,120000000
The Grandmaster,2013,64076736
Water for Elephants,2011,114156230
The Hurricane,1999,73956241
Enough,2002,51801187
Paul Blart: Mall Cop 2,2015,107597242
Angel Eyes,2001,29700000
The Ninth Gate,1999,58401898
Extreme Measures,1996,17380126
Rock Star,2001,16991902
Precious,2009,47536959
White Squall,1996,10300000
The Thing,1982,19629760
Riddick,2013,98337295
Switchback,1997,6482195
City of Ember,2008,17869048
The Master,2012,28258060
Virgin Territory,2007,5410749
The Express,2008,9793496
The 5th Wave,2016,109906372
Creed,2015,173567581
The Town,2010,154026136
What to Expect When You're Expecting,2012,79700000
Burn After Reading,2008,163720069
Nim's Island,2008,100076342
Rush,2013,90247624
Magnolia,1999,48451803
Cop Out,2010,55583804
How to Be Single,2016,112343513
Dolphin Tale,2011,95404397
Twilight,2008,392616625
John Q,2002,102244770
Blue Streak,1999,117758500
We're the Millers,2013,269994119
The Inhabited Island,2008,21834845
Breakdown,1997,50159144
Never Say Never Again,1983,160000000
Hot Tub Time Machine,2010,64572262
Dolphin Tale 2,2014,52424533
Reindeer Games,2000,32168970
A Man Apart,2003,44350926
Aloha,2015,26250020
The Rite,2011,96047633
Gattaca,1997,12532777
Isn't She Great,2000,3003296
Space Chimps,2008,63800345
The Hangover,2009,459270619
Ip Man 3,2015,156844753
Austin Powers: The Spy Who Shagged Me,1999,310940086
Batman,1989,411348924
Lethal Weapon 3,1992,321731527
The Blind Side,2009,309208309
Spy Kids,2001,147934180
Horrible Bosses,2011,117000000
True Grit,2010,252276927
The Devil Wears Prada,2006,326551094
Star Trek: The Motion Picture,1979,139000000
Identity Thief,2013,173965010
Cape Fear,1991,182300000
21,2008,69823199
Trainwreck,2015,140795793
Guess Who,2005,68915888
The English Patient,1996,231976425
L.A. Confidential,1997,126216940
Sky High,2005,86369815
Species,1995,113374103
A Nightmare on Elm Street,1984,25504513
The Cell,2000,104155843
Secretariat,2010,60251371
TMNT,2007,95608995
Radio,2003,52277485
Friends with Benefits,2011,150483765
Neighbors 2: Sorority Rising,2016,108758521
Saving Mr. Banks,2013,112544580
Malcolm X,1992,48169908
This Is 40,2012,88058786
Old Dogs,2009,92219310
Underworld: Rise of the Lycans,2009,91353501
License to Wed,2007,69307224
Must Love Dogs,2005,58405313
Donnie Brasco,1997,41954997
Resident Evil,2002,102984862
Poltergeist,1982,122200000
Max Payne,2008,85416905
In Time,2011,173930596
The Back-Up Plan,2010,77477008
Something Borrowed,2011,59901913
The Bad News Bears,1976,35323292
Street Fighter,1994,99423521
The Pianist,2002,120072577
House of Wax,2005,68766121
Closer,2004,115505027
J. Edgar,2011,84606030
Mirrors,2008,72436439
Queen of the Damned,2002,45479110
Predator 2,1990,57120318
Untraceable,2008,32483410
Blast from the Past,1999,40263020
Flash Gordon,1980,27107960
Jersey Girl,2004,36098382
Alex Cross,2012,30353232
Midnight in the Garden of Good and Evil,1997,25105255
Heist,2015,4100000
Nanny McPhee and the Big Bang,2010,93246388
The X Files: I Want to Believe,2008,68369434
Ella Enchanted,2004,27388767
Concussion,2015,50363790
Abduction,2011,82087155
Valiant,2005,19478106
Superhero Movie,2008,25871834
Broken City,2013,19701164
Cursed,2005,19294901
Premium Rush,2012,31083599
Hot Pursuit,2015,51680201
The Four Feathers,2002,29882645
Parker,2013,46216641
Wimbledon,2004,41512007
Furry Vengeance,2010,39340177
Krull,1983,16519460
Lions for Lambs,2007,63215872
Walk Hard: The Dewey Cox Story,2007,18317151
American Outlaws,2001,13678913
The Young Victoria,2009,27409889
Whiteout,2009,12206028
The Tree of Life,2011,54674226
Sabotage,2014,17508518
The Order,2003,11560806
Punisher: War Zone,2008,10089373
Zoom,2006,12506188
The Walk,2015,61181942
A Good Year,2006,42064105
Radio Flyer,1992,4651977
Femme Fatale,2002,16838910
The Horseman on the Roof,1995,15000000
Ride with the Devil,1999,635096
Biutiful,2010,25147786
Bandidas,2006,10496317
The Maze Runner,2014,348319861
Unfinished Business,2015,14431253
The Age of Innocence,1993,32255440
The Fountain,2006,15304890
Chill Factor,1999,11263966
Stolen,2012,2106557
Ponyo,2008,187479518
The Longest Ride,2015,63013281
The Astronaut's Wife,1999,19598588
Mandela: Long Walk to Freedom,2013,27330000
Reds,1981,40382659
A Few Good Men,1992,243240178
Exit Wounds,2001,79958599
Big Momma's House,2000,173959438
The Darkest Hour,2011,64626786
Step Up Revolution,2012,140470746
Snakes on a Plane,2006,62022014
The Punisher,2004,54700105
Goal!: The Dream Begins,2005,27610873
Safe,2012,40346186
Return of the Jedi,1983,572700000
Doomsday,2008,22211426
The Reader,2008,113019290
Wanderlust,2012,24159934
Elf,2003,173398518
Phenomenon,1996,152036382
Scrooged,1988,60328000
Nacho Libre,2006,80197993
Bridesmaids,2011,288383523
This Is the End,2013,126041322
Stigmata,1999,50041732
Men of Honor,2000,48814909
Takers,2010,69055695
The Big Wedding,2013,21819348
"Big Mommas: Like Father, Like Son",2011,83615414
Source Code,2011,147332697
Alive,1993,36733909
The Number 23,2007,77566815
The Young and Prodigious T.S. Spivet,2013,9494789
1941,1979,31755742
A History of Violence,2005,60740827
Transporter 2,2005,85167639
The Quick and the Dead,1995,18552460
Laws of Attraction,2004,30016165
Repo Men,2010,18409891
Dragon Wars: D-War,2007,53587404
The Incredible Burt Wonderstone,2013,27437881
Cats Don't Dance,1997,3566637
The Good German,2006,5914908
Apocalypse Now,1979,89460381
Going the Distance,2010,42045846
Mr. Holland's Opus,1995,106269971
Criminal,2016,14708696
Out of Africa,1985,128499205
Flight,2012,161772375
Moonraker,1979,210308099
The Grand Budapest Hotel,2014,174600318
Hearts in Atlantis,2001,24185781
Arachnophobia,1990,53208180
Frequency,2000,68106245
Vacation,2015,104384188
Get Shorty,1995,115101622
Chicago,2002,306776732
Big Daddy,1999,234801895
American Pie 2,2001,287553595
Toy Story,1995,373554033
Speed,1994,350448145
The Vow,2012,196114570
Extraordinary Measures,2010,15134293
Remember the Titans,2000,136706683
The Hunt for Red October,1990,199200000
The Butler,2013,115922175
DodgeBall: A True Underdog Story,2004,167722310
The Addams Family,1991,191502426
Ace Ventura: When Nature Calls,1995,212385533
The Princess Diaries,2001,165335153
The First Wives Club,1996,116400000
Se7en,1995,327311859
District 9,2009,210819611
The SpongeBob SquarePants Movie,2004,140161792
Mystic River,2003,156822020
Million Dollar Baby,2004,216763646
Analyze This,1999,176885658
The Notebook,2004,115603229
27 Dresses,2008,160259319
Hannah Montana: The Movie,2009,155545279
Rugrats in Paris: The Movie,2000,103
The Prince of Tides,1991,74787599
Legends of the Fall,1994,160638883
Up in the Air,2009,163670000
About Schmidt,2002,105834556
Warm Bodies,2013,116980662
Looper,2012,47042000
Babe,1995,254134910
Hope Springs,2012,114281051
Forgetting Sarah Marshall,2008,105173115
Four Brothers,2005,92374674
Baby Mama,2008,63833449
Bride Wars,2009,114663461
Without a Paddle,2004,69631118
13 Going on 30,2004,96455697
Midnight in Paris,2011,151119219
Blow,2001,83282296
Message in a Bottle,1999,118880016
Star Trek V: The Final Frontier,1989,70200000
The Naked Gun 33⅓: The Final Insult,1994,51132598
A View to a Kill,1985,152427960
The Curse of the Were-Rabbit,2005,192452832
P.S. I Love You,2007,156835339
Racing Stripes,2005,93772522
Atonement,2007,129266061
Black Rain,1989,45892212
The Three Stooges,2012,54819301
Corpse Bride,2005,117195061
Glory Road,2006,42647449
Sicario,2015,84025816
Southpaw,2015,91709827
Drag Me to Hell,2009,90810892
The Age of Adaline,2015,65663276
Step Up 3D,2010,159291809
Blue Crush,2002,51842679
Stranger Than Fiction,2006,53653224
30 Days of Night,2007,75505973
The Cabin in the Woods,2012,66486080
Meet the Spartans,2008,84646831
Midnight Run,1988,38413606
The Running Man,1987,38122105
Little Shop of Horrors,1986,38748395
Hanna,2011,63782078
Mortal Kombat: Annihilation,1997,51376861
Larry Crowne,2011,36160375
Carrie,2013,82394288
Take the Lead,2006,34742066
Gridiron Gang,2006,41480851
9,2009,48428063
Side Effects,2013,63372757
Winnie the Pooh,2011,14460000
Dumb and Dumberer: When Harry Met Lloyd,2003,39267515
Bulworth,1998,29202884
Get on Up,2014,31911598
Virtuosity,1995,24048000
My Super Ex-Girlfriend,2006,60896147
Sanctum,2011,108609310
Little Black Book,2004,22034832
The Five-Year Engagement,2012,53909751
Mr. 3000,2004,21800302
The Next Three Days,2010,51148651
Ultraviolet,2006,31070211
Assault on Precinct 13,2005,35294470
The Replacement Killers,1998,19204929
Fled,1996,17193231
Love & Other Drugs,2010,102820008
88 Minutes,2007,16930884
North Country,2005,25224242
The Whole Ten Yards,2004,26155781
Howard the Duck,1986,37962774
Pride and Glory,2008,31148328
The Cave,2005,15007991
Alex & Emma,2003,15368897
Wicker Park,2004,13001257
Fright Night,2011,24922237
The New World,2005,30536013
Godsend,2004,30114487
Chasing Liberty,2004,12
Hoodwinked Too! Hood VS. Evil,2011,13521829
An Unfinished Life,2005,18618284
The Imaginarium of Doctor Parnassus,2009,64352607
Barney's Version,2010,8454301
Runner Runner,2013,62616646
Antitrust,2001,18195610
Glory,1989,26828365
Dead Man Down,2013,18074539
Supercross,2005,3102550
Miss Potter,2006,35078241
DOA: Dead or Alive,2006,480314
The Assassination of Jesse James by the Coward Robert Ford,2007,14711793
1911,2011,108348
Machine Gun Preacher,2011,2527904
Sausage Party,2016,140752617
Pitch Perfect 2,2015,287506194
Walk the Line,2005,186438883
Keeping the Faith,2000,37036004
Confessions of a Dangerous Mind,2002,33013805
Serving Sara,2002,16930185
The Boss,2016,78636257
Seed of Chucky,2004,24829644
The Jacket,2005,21126225
Aladdin,1992,504050219
Straight Outta Compton,2015,201634991
Indiana Jones and the Temple of Doom,1984,333000000
The Rugrats Movie,1998,100491683
Along Came a Spider,2001,105178561
Florence Foster Jenkins,2016,48902953
Once Upon a Time in Mexico,2003,98185582
Die Hard,1988,140767956
Role Models,2008,92380927
The Big Short,2015,133346506
Miracle,2004,64445708
Dawn of the Dead,2004,102356381
The Wedding Planner,2001,94728529
Space Pirate Captain Harlock,2013,17137302
The Royal Tenenbaums,2001,71441250
Identity,2003,90259536
Last Vegas,2013,134402450
For Your Eyes Only,1981,195312802
Serendipity,2001,77516304
Timecop,1994,101646581
Zoolander,2001,60780981
Safe Haven,2013,97594140
Hocus Pocus,1993,39514713
No Reservations,2007,92601050
Kick-Ass,2010,96188903
30 Minutes or Less,2011,40547440
Dracula 2000,2000,33000337
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,100654149
Pride & Prejudice,2005,121147947
Blade Runner,1982,33139618
Rob Roy,1995,31596911
3 Days to Kill,2014,52597999
We Own the Night,2007,54926886
Winged Migration,2001,20217080
Just My Luck,2006,38159905
"Mystery, Alaska",1999,8888143
The Spy Next Door,2010,45236543
A Simple Wish,1997,8345056
Ghosts of Mars,2001,14010832
Our Brand Is Crisis,2015,7002261
Pride and Prejudice and Zombies,2016,16374328
Kundun,1997,5684789
How to Lose Friends & Alienate People,2008,17286299
Kick-Ass 2,2013,60700000
Alatriste,2006,23321954
Brick Mansions,2014,68896829
Octopussy,1983,187500000
Knocked Up,2007,219076518
My Sister's Keeper,2009,95714875
Welcome Home Roscoe Jenkins,2008,43650785
A Passage to India,1984,27187653
Notes on a Scandal,2006,49469904
Rendition,2007,24748670
Star Trek VI: The Undiscovered Country,1991,96900000
Kiss the Girls,1997,60527873
The Blues Brothers,1980,115229890
The Sisterhood of the Traveling Pants 2,2008,44352417
About a Boy,2002,129000000
Lake Placid,1999,56870414
Lucky Number Slevin,2006,56308881
The Right Stuff,1983,21500000
Anonymous,2011,15395087
The NeverEnding Story,1984,20158808
Dark City,1998,27200316
Return to Oz,1985,11137801
The Newton Boys,1998,76000000
Case 39,2009,29000000
Suspect Zero,2004,13000000
Spy Kids: All the Time in the World,2011,85564310
Money Monster,2016,93282604
The 51st State,2001,14
Flawless,1999,4488529
Mindhunters,2004,21148829
What Just Happened,2008,6673422
Paul Blart: Mall Cop,2009,183293131
Freaky Friday,2003,110230332
The 40 Year Old Virgin,2005,109449237
Shakespeare in Love,1998,289317794
A Walk Among the Tombstones,2014,53181600
Kindergarten Cop,1990,201957688
Pineapple Express,2008,101624843
Ever After: A Cinderella Story,1998,65705772
Open Range,2003,68296293
Flatliners,1990,61489265
A Bridge Too Far,1977,50750000
Red Eye,2005,57891803
Final Destination 2,2003,90426405
"O Brother, Where Art Thou?",2000,71868327
Legion,2010,67918658
Pain & Gain,2013,86175291
Clockstoppers,2002,38793283
Brothers,2009,43318349
Agent Cody Banks 2: Destination London,2004,28818995
New Year's Eve,2011,142044638
Original Sin,2001,35402320
The Raven,2012,29657751
Welcome to Mooseport,2004,14000000
Highlander: The Final Dimension,1994,36800000
Flipper,1996,20080020
Self/less,2015,30523226
The Constant Gardener,2005,82466670
The Passion of the Christ,2004,611899420
Mrs. Doubtfire,1993,441286195
Rain Man,1988,412800000
Gran Torino,2008,269958228
W.,2008,29506464
Taken,2008,226830568
The Best of Me,2014,35926213
The Bodyguard,1992,411006740
Schindler's List,1993,321365567
The Help,2011,124272124
The Fifth Estate,2013,8555008
Scooby-Doo 2: Monsters Unleashed,2004,181466833
Freddy vs. Jason,2003,114908830
Jimmy Neutron: Boy Genius,2001,80936232
Cloverfield,2008,170764026
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,78000000
The Untouchables,1987,76270454
No Country for Old Men,2007,171600000
Ride Along,2014,153997819
Bridget Jones's Diary,2001,281929795
Chocolat,2000,152500343
"Legally Blonde 2: Red, White & Blonde",2003,124914842
Parental Guidance,2012,119772232
No Strings Attached,2011,147780440
Tombstone,1993,56505065
Romeo Must Die,2000,91036760
The Omen,1976,60922980
Final Destination 3,2006,117719158
The Lucky One,2012,99357138
Bridge to Terabithia,2007,137587063
Finding Neverland,2004,116766556
The Grey,2012,77278331
Hide and Seek,2005,122644820
Anchorman: The Legend of Ron Burgundy,2004,90574188
GoodFellas,1990,46836394
Agent Cody Banks,2003,58795814
Nanny McPhee,2005,122489822
Scarface,1983,65884703
The Last Emperor,1987,43984230
Contraband,2012,63100000
There Will Be Blood,2007,77208711
Undercover Brother,2002,41604473
The Sisterhood of the Traveling Pants,2005,39053061
Kiss of the Dragon,2001,64437847
The House Bunny,2008,70442940
Beauty Shop,2005,36351350
Million Dollar Arm,2014,38307627
The Giver,2014,66980456
Jeepers Creepers 2,2003,63102666
Good Luck Chuck,2007,59192128
Cradle 2 the Grave,2003,56489558
The Hours,2002,41597830
She's the Man,2006,33889159
Mr. Bean's Holiday,2007,229736344
Anacondas: The Hunt for the Blood Orchid,2004,70992898
Blood Ties,2013,2415472
August Rush,2007,66122026
Elizabeth,1998,82150642
Bride of Chucky,1998,50671850
Tora! Tora! Tora!,1970,29548291
Spice World,1997,100000000
The Sitter,2011,34942188
The Shawshank Redemption,1994,28341469
Crocodile Dundee in Los Angeles,2001,39438674
Kingpin,1996,25023434
The Gambler,2014,39171130
August: Osage County,2013,74188937
Ice Princess,2005,27645491
A Lot Like Love,2005,42886719
Eddie the Eagle,2016,46152800
He Got Game,1998,21567853
Don Juan DeMarco,1994,22200000
Dear John,2010,114977104
The Losers,2010,23580000
Don't Be Afraid of the Dark,2010,36993168
War,2007,40452643
Punch-Drunk Love,2002,17000000
EuroTrip,2004,20796847
The Greatest Game Ever Played,2005,15431177
The Box,2009,33333531
The Next Best Thing,2000,24362772
My Soul to Take,2010,19829957
The Girl Next Door,2004,30411183
Maximum Risk,1996,51702483
Legend,2015,42972994
Hot Rod,2007,14334401
Shark Night,2011,10126458
Angela's Ashes,1999,13
Draft Day,2014,28831145
The Conspirator,2010,15478800
Lords of Dogtown,2005,13411957
The 33,2015,24902723
Big Trouble in Little China,1986,11000000
Warrior,2011,23057115
Michael Collins,1996,16900000
Gettysburg,1993,25000000
Stop-Loss,2008,11207130
Abandon,2002,10719357
Brokedown Palace,1999,13000000
The Possession,2012,85446075
Mrs. Winterbourne,1996,10070000
Straw Dogs,2011,10324441
The Hoax,2006,11772461
The Road,2009,27635305
Sheena,1984,5778353
Tank Girl,1995,4064495
Blindness,2008,19844979
BloodRayne,2005,2405420
Carnage,2011,27603069
Cirque du Soleil: Worlds Away,2012,34153101
Without Limits,1998,777423
Me and Orson Welles,2009,2336172
The Best Offer,2013,19255873
The Bad Lieutenant: Port of Call - New Orleans,2009,10589102
Little White Lies,2010,48531470
Space Dogs,2010,6500000
The Counselor,2013,71009334
Waterloo,1970,3052000
Dangerous Liaisons,1988,34670720
On the Road,2012,8784318
Star Trek IV: The Voyage Home,1986,133000000
Rocky Balboa,2006,155721132
Scream 2,1997,172363301
Jane Got a Gun,2016,1397284
Think Like a Man Too,2014,70181428
The Whole Nine Yards,2000,106371651
Footloose,1984,80035402
Old School,2003,87055349
The Fisher King,1991,41895491
I Still Know What You Did Last Summer,1998,40002112
Return to Me,2000,36609995
Zack and Miri Make a Porno,2008,42105111
The Men Who Stare at Goats,2009,68729358
Win a Date with Tad Hamilton!,2004,16980098
Muppets from Space,1999,16290976
The Wiz,1978,21049053
Ready to Rumble,2000,12372410
Play It to the Bone,1999,8434146
I Don't Know How She Does It,2011,30551495
Piranha 3D,2010,83188165
Meet the Deedles,1998,4562146
The Thief and the Cobbler,1993,669276
Faster,2010,23081726
Howl's Moving Castle,2004,234710455
Zombieland,2009,102391382
The Waterboy,1998,185991646
The Empire Strikes Back,1980,538400000
Bad Boys,1995,141407024
The Naked Gun 2½: The Smell of Fear,1991,86930411
Final Destination,2000,53302314
The Ides of March,2011,75993061
Pitch Black,2000,53187659
Her,2013,47351251
Joy Ride,2001,36642838
The Adventurer: The Curse of the Midas Box,2013,6399
